Protein,C(Time): sum_sq,Residual: sum_sq,C(Time): df,Residual: df,C(Time): F,Residual: F,C(Time): PR(>F),Residual: PR(>F)
CRTAM_OID00304,0.9418362638532918,58.031536231183466,2.0,84.0,0.6816487318938506,,0.5085578141859479,
RGMA_OID00305,0.6956484890820294,99.52592595221176,2.0,84.0,0.29356407651483835,,0.7463632391994912,
PLXNB3_OID00306,4.9190606636233,1056.822648926317,2.0,84.0,0.19549216520111035,,0.8228028926705938,
CPA2_OID00307,79.9337560944244,1251.5575399906327,2.0,84.0,2.6824318089210277,,0.0742548019798287,
CD38_OID00308,0.09802286840709662,303.99900605511687,2.0,84.0,0.013542677413726901,,0.9865507656281981,
SMPD1_OID00309,80.32924264443255,1085.8950397966075,2.0,84.0,3.106956075329434,,0.04991629245090201,
MSR1_OID00310,0.05716667992799549,88.41588609318372,2.0,84.0,0.027155759706409953,,0.9732181830255893,
Alpha-2-MRAP_OID00311,2.063265233331694,1057.0258560241487,2.0,84.0,0.08198204358583958,,0.921362123398583,
sFRP-3_OID00312,49.12111180182726,806.3540630287811,2.0,84.0,2.55853698799197,,0.08343944962144122,
EPHB6_OID00313,9.483165066519517,1180.0658810629852,2.0,84.0,0.33751753964367104,,0.7145026348309593,
RGMB_OID00314,1.0819974776033487,559.9468796140168,2.0,84.0,0.08115750924563787,,0.9221206576072163,
SIGLEC1_OID00315,4.661838652431326,516.9862443794068,2.0,84.0,0.37872811033328707,,0.6858949842257243,
CNTN5_OID00316,5.415816676855227,355.74840759913604,2.0,84.0,0.6393965385903585,,0.530158967842352,
ADAM 22_OID00317,15.300259879051024,802.2232027258781,2.0,84.0,0.8010375575483386,,0.45226160593056486,
CLEC1B_OID00318,3.3181888919748865,366.71690471391014,2.0,84.0,0.38003138571337025,,0.6850096483291831,
ADAM 23_OID00319,61.716529520856135,1266.1287584926404,2.0,84.0,2.04725958753351,,0.1354804578206988,
MATN3_OID00320,20.683369362082345,670.934905614713,2.0,84.0,1.2947627347120225,,0.2793733083292789,
RSPO1_OID00321,10.786044688908802,2422.9472342648837,2.0,84.0,0.18696811491712612,,0.8298144227933407,
HAGH_OID00322,18.023934768150916,1520.5691240462615,2.0,84.0,0.4978433721236783,,0.6096221674679692,
LXN_OID00323,9.96325085413483,491.84469586554894,2.0,84.0,0.8507899737279113,,0.4307241486554174,
gal-8_OID00324,0.7237253072559335,920.2467885209348,2.0,84.0,0.03303077314032671,,0.9675213458086567,
BCAN_OID00325,0.16463517705282635,1538.9724333081126,2.0,84.0,0.0044930482746563544,,0.9955172695992527,
LAYN_OID00326,10.498948645901079,1186.2618278949785,2.0,84.0,0.37171881684022606,,0.6906766432832626,
NEP_OID00327,17.949349492085467,2194.1197707971046,2.0,84.0,0.3435877515445359,,0.7102132641039491,
GDF-8_OID00328,0.7734658304660312,76.630089155429,2.0,84.0,0.4239270140177282,,0.6558639869093017,
THY 1_OID00329,11.388927969841964,1398.1489053616092,2.0,84.0,0.3421201939929629,,0.7112478563477818,
WFIKKN1_OID00330,31.592309849605563,938.5958541534361,2.0,84.0,1.4136830115025456,,0.2489726829283394,
TMPRSS5_OID00331,0.023676361877059137,99.2476826798609,2.0,84.0,0.010019450046446943,,0.9900317604308341,
CDH3_OID00332,29.353790747461055,1752.5700805557358,2.0,84.0,0.7034578674322842,,0.4977627478957837,
GFR-alpha-1_OID00333,6.547476202574079,689.0192884515927,2.0,84.0,0.3991092921739463,,0.672182813268863,
GM-CSF-R-alpha_OID00334,4.657348863104405,807.0880159657099,2.0,84.0,0.2423634701307418,,0.7853177528552149,
Beta-NGF_OID00335,38.85589621737723,1906.6550006414986,2.0,84.0,0.8559218319941315,,0.4285631892549653,
SCARA5_OID00336,0.8147330252282179,1082.4936974027416,2.0,84.0,0.03161107278655504,,0.9688948539827876,
CD200_OID00337,0.0356039195186482,1865.951615506281,2.0,84.0,0.0008013951741066411,,0.9991989334966638,
NTRK2_OID00338,5.225370749291398,1393.431726315657,2.0,84.0,0.15750005351932306,,0.8545284548077083,
GZMA_OID00339,2.8240673422397826,280.02162156803695,2.0,84.0,0.4235773927380531,,0.6560910397913579,
G-CSF_OID00340,13.016356992582454,691.7378473925809,2.0,84.0,0.790309502001562,,0.4570484405389449,
DRAXIN_OID00341,6.6918097992242425,132.74557014438437,2.0,84.0,2.117253413893359,,0.12674025737368402,
SCARF2_OID00342,5.729261821152899,1972.6864740129618,2.0,84.0,0.12198035504289703,,0.8853222607228841,
GDNFR-alpha-3_OID00343,0.23351235492688957,210.75015213167327,2.0,84.0,0.04653623642844055,,0.9545545622740278,
PVR_OID00344,0.32505080746058035,56.188913836682644,2.0,84.0,0.24296846087869467,,0.7848455142268197,
TNFRSF12A_OID00345,42.15996305342054,1414.0885946227781,2.0,84.0,1.2521976734534226,,0.291156622011123,
SKR3_OID00346,0.29559601823473003,62.426058535457535,2.0,84.0,0.19887580694858403,,0.8200364931804611,
FLRT2_OID00347,3.0540308255365303,770.7972639725222,2.0,84.0,0.16641119613147315,,0.8469764493188565,
CPM_OID00348,1.9416592994308854,139.09119574881015,2.0,84.0,0.5863037565898186,,0.5586404807306441,
CLEC10A_OID00349,3.8010319726252066,591.7068987245393,2.0,84.0,0.2698013884819997,,0.7641902510972598,
GCP5_OID00350,6.3960914795857855,462.62394597863283,2.0,84.0,0.5806786364556461,,0.561748455832264,
BMP-4_OID00351,0.909943971532733,254.16179669267936,2.0,84.0,0.15036739313967706,,0.8606228884548933,
FcRL2_OID00352,2.4561565474708225,529.017839214397,2.0,84.0,0.19500018212423095,,0.8232059233273993,
MDGA1_OID00353,3.329328127331788,749.6393050091704,2.0,84.0,0.18653208338138638,,0.8301747245394471,
IL-5R-alpha_OID00354,16.686394566887333,1243.557861240694,2.0,84.0,0.5635673205507731,,0.5713120289377862,
PDGF-R-alpha_OID00355,11.339436465334577,571.2097179200158,2.0,84.0,0.8337679080080715,,0.43797212688812415,
CTSC_OID00356,13.697593458542732,930.354064482851,2.0,84.0,0.6183655741629741,,0.5412588375331155,
CDH6_OID00357,0.3698095137115188,49.34447839286685,2.0,84.0,0.3147667192309215,,0.730816352621311,
DDR1_OID00358,9.477118092250576,1313.6105366839206,2.0,84.0,0.3030113939854152,,0.7393945698910132,
JAM-B_OID00359,3.318138898514917,2339.1736568302763,2.0,84.0,0.05957737824667123,,0.9422024026845656,
CTSS_OID00360,7.710177067434309,635.6329635933764,2.0,84.0,0.5094566446044136,,0.6026663382892439,
N-CDase_OID00361,9.926485877605462,3383.611456285218,2.0,84.0,0.12321521316668758,,0.8842328660364328,
NAAA_OID00362,6.80143504657461,1357.8879012053414,2.0,84.0,0.2103710267265543,,0.8107091482538418,
N2DL-2_OID00363,2.46229283811234,799.8397724869743,2.0,84.0,0.12929627002563499,,0.8788881296896067,
PLXNB1_OID00364,10.062853551051875,856.5498195133046,2.0,84.0,0.4934212109043752,,0.6122924039417795,
TNFRSF21_OID00365,5.443374937217524,729.6104558505608,2.0,84.0,0.31334768509672023,,0.731846434171679,
CLM-1_OID00366,3.262080973026364,1522.9507586558896,2.0,84.0,0.0899618061112008,,0.9140540288702016,
SPOCK1_OID00367,15.60604321175996,379.0131859619819,2.0,84.0,1.7293694234682002,,0.183651792703042,
IL12_OID00368,6.245671148296267,608.3938808916228,2.0,84.0,0.43116506669003085,,0.6511814420550862,
Dkk-4_OID00369,24.18676289682916,387.1226096837581,2.0,84.0,2.6240886382137982,,0.07844352379157724,
EDA2R_OID00370,115.95215775218401,2018.7205106148335,2.0,84.0,2.4124144971948076,,0.09578247438706619,
LAT_OID00371,38.1386826834565,1034.7755879028061,2.0,84.0,1.5479923293818838,,0.21867967067101865,
NTRK3_OID00372,4.126754379979983,2444.727655641623,2.0,84.0,0.07089692938155524,,0.931613584811352,
LAIR-2_OID00373,7.481181363319437,182.66407830008404,2.0,84.0,1.7201500162677128,,0.18528538790173407,
MANF_OID00374,0.7062214500376142,317.5562517386696,2.0,84.0,0.09340487154379606,,0.9109191242672716,
TN-R_OID00375,0.06893029531987117,244.36357637065694,2.0,84.0,0.011847397416721668,,0.9882241576366245,
